Time,Delta,Dela Prev,Data Id,Data Type,Data Count,Ip Address,Data
2019-05-11 01:01:45.413200,20.255543,0.224864,5100,L,2,('192.168.1.136'; 11000),(116, 0)
2019-05-11 01:01:45.812817,20.65516,0.399617,5100,L,2,('192.168.1.136'; 11000),(117, 0)
2019-05-11 01:01:46.033484,20.875827,0.220667,5100,L,2,('192.168.1.136'; 11000),(118, 0)
2019-05-11 01:01:46.421943,21.264286,0.388459,5100,L,2,('192.168.1.136'; 11000),(119, 0)
2019-05-11 01:01:46.642448,21.484791,0.220505,5100,L,2,('192.168.1.136'; 11000),(120, 0)
2019-05-11 01:01:47.030933,21.873276,0.388485,5100,L,2,('192.168.1.136'; 11000),(121, 0)
2019-05-11 01:01:47.259847,22.10219,0.228914,5100,L,2,('192.168.1.136'; 11000),(122, 0)
2019-05-11 01:01:47.556739,22.399082,0.296892,5100,L,2,('192.168.1.136'; 11000),(123, 0)
2019-05-11 01:01:47.875737,22.71808,0.318998,5100,L,2,('192.168.1.136'; 11000),(124, 0)
2019-05-11 01:01:48.141984,22.984327,0.266247,5100,L,2,('192.168.1.136'; 11000),(125, 0)
2019-05-11 01:01:48.546238,23.388581,0.404254,5100,L,2,('192.168.1.136'; 11000),(126, 0)
2019-05-11 01:01:48.759481,23.601824,0.213243,5100,L,2,('192.168.1.136'; 11000),(127, 0)
2019-05-11 01:01:49.156817,23.99916,0.397336,5100,L,2,('192.168.1.136'; 11000),(128, 0)
2019-05-11 01:01:49.377144,24.219487,0.220327,5100,L,2,('192.168.1.136'; 11000),(129, 0)
2019-05-11 01:01:49.762129,24.604472,0.384985,5100,L,2,('192.168.1.136'; 11000),(130, 0)
2019-05-11 01:01:49.995586,24.837929,0.233457,5100,L,2,('192.168.1.136'; 11000),(131, 0)
2019-05-11 01:01:50.386357,25.2287,0.390771,5100,L,2,('192.168.1.136'; 11000),(132, 0)
2019-05-11 01:01:50.607626,25.449969,0.221269,5100,L,2,('192.168.1.136'; 11000),(133, 0)
2019-05-11 01:01:50.994007,25.83635,0.386381,5100,L,2,('192.168.1.136'; 11000),(134, 0)
2019-05-11 01:01:51.227822,26.070165,0.233815,5100,L,2,('192.168.1.136'; 11000),(135, 0)
2019-05-11 01:01:51.615292,26.457635,0.38747,5100,L,2,('192.168.1.136'; 11000),(136, 0)
2019-05-11 01:01:51.830076,26.672419,0.214784,5100,L,2,('192.168.1.136'; 11000),(137, 0)
2019-05-11 01:01:52.125379,26.967722,0.295303,5100,L,2,('192.168.1.136'; 11000),(138, 0)
2019-05-11 01:01:52.459019,27.301362,0.33364,5100,L,2,('192.168.1.136'; 11000),(139, 0)
2019-05-11 01:01:52.746086,27.588429,0.287067,5100,L,2,('192.168.1.136'; 11000),(140, 0)
2019-05-11 01:01:53.118925,27.961268,0.372839,5100,L,2,('192.168.1.136'; 11000),(141, 0)
2019-05-11 01:01:53.364665,28.207008,0.24574,5100,L,2,('192.168.1.136'; 11000),(142, 0)
2019-05-11 01:01:53.739020,28.581363,0.374355,5100,L,2,('192.168.1.136'; 11000),(143, 0)
2019-05-11 01:01:53.974883,28.817226,0.235863,5100,L,2,('192.168.1.136'; 11000),(144, 0)
2019-05-11 01:01:54.348180,29.190523,0.373297,5100,L,2,('192.168.1.136'; 11000),(145, 0)
2019-05-11 01:01:54.562908,29.405251,0.214728,5100,L,2,('192.168.1.136'; 11000),(146, 0)
2019-05-11 01:01:54.968908,29.811251,0.406,5100,L,2,('192.168.1.136'; 11000),(147, 0)
2019-05-11 01:01:55.181295,30.023638,0.212387,5100,L,2,('192.168.1.136'; 11000),(148, 0)
2019-05-11 01:01:55.580340,30.422683,0.399045,5100,L,2,('192.168.1.136'; 11000),(149, 0)
2019-05-11 01:01:55.806905,30.649248,0.226565,5100,L,2,('192.168.1.136'; 11000),(150, 0)
2019-05-11 01:01:56.199163,31.041506,0.392258,5100,L,2,('192.168.1.136'; 11000),(151, 0)
2019-05-11 01:01:56.409733,31.252076,0.21057,5100,L,2,('192.168.1.136'; 11000),(152, 0)
2019-05-11 01:01:56.685358,31.527701,0.275625,5100,L,2,('192.168.1.136'; 11000),(153, 0)
2019-05-11 01:01:57.032720,31.875063,0.347362,5100,L,2,('192.168.1.136'; 11000),(154, 0)
2019-05-11 01:01:57.304868,32.147211,0.272148,5100,L,2,('192.168.1.136'; 11000),(155, 0)
2019-05-11 01:01:57.702120,32.544463,0.397252,5100,L,2,('192.168.1.136'; 11000),(156, 0)
2019-05-11 01:01:57.910425,32.752768,0.208305,5100,L,2,('192.168.1.136'; 11000),(157, 0)
2019-05-11 01:01:58.306569,33.148912,0.396144,5100,L,2,('192.168.1.136'; 11000),(158, 0)
2019-05-11 01:01:58.531547,33.37389,0.224978,5100,L,2,('192.168.1.136'; 11000),(159, 0)
2019-05-11 01:01:58.929126,33.771469,0.397579,5100,L,2,('192.168.1.136'; 11000),(160, 0)
2019-05-11 01:01:59.151066,33.993409,0.22194,5100,L,2,('192.168.1.136'; 11000),(161, 0)
2019-05-11 01:01:59.532442,34.374785,0.381376,5100,L,2,('192.168.1.136'; 11000),(162, 0)
2019-05-11 01:01:59.757430,34.599773,0.224988,5100,L,2,('192.168.1.136'; 11000),(163, 0)
2019-05-11 01:02:00.151293,34.993636,0.393863,5100,L,2,('192.168.1.136'; 11000),(164, 0)
2019-05-11 01:02:00.377226,35.219569,0.225933,5100,L,2,('192.168.1.136'; 11000),(165, 0)
2019-05-11 01:02:00.777281,35.619624,0.400055,5100,L,2,('192.168.1.136'; 11000),(166, 0)
2019-05-11 01:02:00.998308,35.840651,0.221027,5100,L,2,('192.168.1.136'; 11000),(167, 0)
2019-05-11 01:02:01.277153,36.119496,0.278845,5100,L,2,('192.168.1.136'; 11000),(168, 0)
2019-05-11 01:02:01.613412,36.455755,0.336259,5100,L,2,('192.168.1.136'; 11000),(169, 0)
2019-05-11 01:02:01.892677,36.73502,0.279265,5100,L,2,('192.168.1.136'; 11000),(170, 0)
2019-05-11 01:02:02.279821,37.122164,0.387144,5100,L,2,('192.168.1.136'; 11000),(171, 0)
2019-05-11 01:02:02.521303,37.363646,0.241482,5100,L,2,('192.168.1.136'; 11000),(172, 0)
2019-05-11 01:02:02.892633,37.734976,0.37133,5100,L,2,('192.168.1.136'; 11000),(173, 0)
2019-05-11 01:02:03.132616,37.974959,0.239983,5100,L,2,('192.168.1.136'; 11000),(174, 0)
2019-05-11 01:02:03.495763,38.338106,0.363147,5100,L,2,('192.168.1.136'; 11000),(175, 0)
2019-05-11 01:02:03.719771,38.562114,0.224008,5100,L,2,('192.168.1.136'; 11000),(176, 0)
2019-05-11 01:02:04.115347,38.95769,0.395576,5100,L,2,('192.168.1.136'; 11000),(177, 0)
2019-05-11 01:02:04.337896,39.180239,0.222549,5100,L,2,('192.168.1.136'; 11000),(178, 0)
2019-05-11 01:02:04.728214,39.570557,0.390318,5100,L,2,('192.168.1.136'; 11000),(179, 0)
2019-05-11 01:02:04.962631,39.804974,0.234417,5100,L,2,('192.168.1.136'; 11000),(180, 0)
2019-05-11 01:02:05.342435,40.184778,0.379804,5100,L,2,('192.168.1.136'; 11000),(181, 0)
2019-05-11 01:02:05.570213,40.412556,0.227778,5100,L,2,('192.168.1.136'; 11000),(182, 0)
2019-05-11 01:02:05.849835,40.692178,0.279622,5100,L,2,('192.168.1.136'; 11000),(183, 0)
2019-05-11 01:02:06.187528,41.029871,0.337693,5100,L,2,('192.168.1.136'; 11000),(184, 0)
2019-05-11 01:02:06.451679,41.294022,0.264151,5100,L,2,('192.168.1.136'; 11000),(185, 0)
2019-05-11 01:02:06.854388,41.696731,0.402709,5100,L,2,('192.168.1.136'; 11000),(186, 0)
2019-05-11 01:02:07.075149,41.917492,0.220761,5100,L,2,('192.168.1.136'; 11000),(187, 0)
2019-05-11 01:02:07.471815,42.314158,0.396666,5100,L,2,('192.168.1.136'; 11000),(188, 0)
2019-05-11 01:02:07.684576,42.526919,0.212761,5100,L,2,('192.168.1.136'; 11000),(189, 0)
2019-05-11 01:02:08.075809,42.918152,0.391233,5100,L,2,('192.168.1.136'; 11000),(190, 0)
2019-05-11 01:02:08.306069,43.148412,0.23026,5100,L,2,('192.168.1.136'; 11000),(191, 0)
2019-05-11 01:02:08.690173,43.532516,0.384104,5100,L,2,('192.168.1.136'; 11000),(192, 0)
2019-05-11 01:02:08.917757,43.7601,0.227584,5100,L,2,('192.168.1.136'; 11000),(193, 0)
2019-05-11 01:02:09.307680,44.150023,0.389923,5100,L,2,('192.168.1.136'; 11000),(194, 0)
2019-05-11 01:02:09.535972,44.378315,0.228292,5100,L,2,('192.168.1.136'; 11000),(195, 0)
2019-05-11 01:02:09.921524,44.763867,0.385552,5100,L,2,('192.168.1.136'; 11000),(196, 0)
2019-05-11 01:02:10.144820,44.987163,0.223296,5100,L,2,('192.168.1.136'; 11000),(197, 0)
2019-05-11 01:02:10.445417,45.28776,0.300597,5100,L,2,('192.168.1.136'; 11000),(198, 0)
2019-05-11 01:02:10.763258,45.605601,0.317841,5100,L,2,('192.168.1.136'; 11000),(199, 0)
2019-05-11 01:02:11.062817,45.90516,0.299559,5100,L,2,('192.168.1.136'; 11000),(200, 0)
2019-05-11 01:02:11.425737,46.26808,0.36292,5100,L,2,('192.168.1.136'; 11000),(201, 0)
2019-05-11 01:02:11.676381,46.518724,0.250644,5100,L,2,('192.168.1.136'; 11000),(202, 0)
2019-05-11 01:02:12.042692,46.885035,0.366311,5100,L,2,('192.168.1.136'; 11000),(203, 0)
2019-05-11 01:02:12.292694,47.135037,0.250002,5100,L,2,('192.168.1.136'; 11000),(204, 0)
2019-05-11 01:02:12.661210,47.503553,0.368516,5100,L,2,('192.168.1.136'; 11000),(205, 0)
2019-05-11 01:02:12.879632,47.721975,0.218422,5100,L,2,('192.168.1.136'; 11000),(206, 0)
2019-05-11 01:02:13.273464,48.115807,0.393832,5100,L,2,('192.168.1.136'; 11000),(207, 0)
2019-05-11 01:02:13.488644,48.330987,0.21518,5100,L,2,('192.168.1.136'; 11000),(208, 0)
