Time, Delta, Dela Prev, Data Id, Data Type, Data Count, Ip Address, Data
2019-05-08 13:23:59.026869,1.879046,2019-05-08 13:23:59.026869,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.028862,1.881039,2019-05-08 13:23:59.028862,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.032850,1.885027,2019-05-08 13:23:59.032850,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.034846,1.887023,2019-05-08 13:23:59.034846,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.035843,1.88802,2019-05-08 13:23:59.035843,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.036841,1.889018,2019-05-08 13:23:59.036841,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.038835,1.891012,2019-05-08 13:23:59.038835,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.042829,1.895006,2019-05-08 13:23:59.042829,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.044820,1.896997,2019-05-08 13:23:59.044820,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.046814,1.898991,2019-05-08 13:23:59.046814,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.048809,1.900986,2019-05-08 13:23:59.048809,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.052799,1.904976,2019-05-08 13:23:59.052799,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.054791,1.906968,2019-05-08 13:23:59.054791,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.055789,1.907966,2019-05-08 13:23:59.055789,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.056786,1.908963,2019-05-08 13:23:59.056786,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.059782,1.911959,2019-05-08 13:23:59.059782,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.063777,1.915954,2019-05-08 13:23:59.063777,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.064767,1.916944,2019-05-08 13:23:59.064767,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.066761,1.918938,2019-05-08 13:23:59.066761,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.067759,1.919936,2019-05-08 13:23:59.067759,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.068756,1.920933,2019-05-08 13:23:59.068756,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.073744,1.925921,2019-05-08 13:23:59.073744,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.075750,1.927927,2019-05-08 13:23:59.075750,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.077732,1.929909,2019-05-08 13:23:59.077732,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.078729,1.930906,2019-05-08 13:23:59.078729,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.080724,1.932901,2019-05-08 13:23:59.080724,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.083738,1.935915,2019-05-08 13:23:59.083738,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.086707,1.938884,2019-05-08 13:23:59.086707,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.088701,1.940878,2019-05-08 13:23:59.088701,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.090696,1.942873,2019-05-08 13:23:59.090696,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.095684,1.947861,2019-05-08 13:23:59.095684,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.096683,1.94886,2019-05-08 13:23:59.096683,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.097677,1.949854,2019-05-08 13:23:59.097677,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.099672,1.951849,2019-05-08 13:23:59.099672,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.100671,1.952848,2019-05-08 13:23:59.100671,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.104660,1.956837,2019-05-08 13:23:59.104660,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.107651,1.959828,2019-05-08 13:23:59.107651,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.110644,1.962821,2019-05-08 13:23:59.110644,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.112639,1.964816,2019-05-08 13:23:59.112639,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.116628,1.968805,2019-05-08 13:23:59.116628,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.118623,1.9708,2019-05-08 13:23:59.118623,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.121614,1.973791,2019-05-08 13:23:59.121614,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.123610,1.975787,2019-05-08 13:23:59.123610,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.128596,1.980773,2019-05-08 13:23:59.128596,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.129593,1.98177,2019-05-08 13:23:59.129593,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.132586,1.984763,2019-05-08 13:23:59.132586,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.135578,1.987755,2019-05-08 13:23:59.135578,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.138570,1.990747,2019-05-08 13:23:59.138570,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.140564,1.992741,2019-05-08 13:23:59.140564,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.143557,1.995734,2019-05-08 13:23:59.143557,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.147547,1.999724,2019-05-08 13:23:59.147547,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:23:59.149540,2.001717,2019-05-08 13:23:59.149540,0,b,0,('0.0.0.0', 11000),()
