Time,Delta,Dela Prev,Data Id,Data Type,Data Count,Ip Address,Data
2019-05-08 13:35:44.019354,0.867441,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.020354,0.868441,0.001,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.020354,0.868441,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.020354,0.868441,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.021350,0.869437,0.000996,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.021350,0.869437,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.021350,0.869437,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.022347,0.870434,0.000997,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.022347,0.870434,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.022347,0.870434,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.022347,0.870434,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.023343,0.87143,0.000996,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.023343,0.87143,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.023343,0.87143,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.023343,0.87143,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.024342,0.872429,0.000999,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.024342,0.872429,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.024342,0.872429,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.024342,0.872429,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.025339,0.873426,0.000997,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.025339,0.873426,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.025339,0.873426,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.025339,0.873426,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.026336,0.874423,0.000997,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.026336,0.874423,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.026336,0.874423,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.026336,0.874423,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.029329,0.877416,0.002993,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.029329,0.877416,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.029329,0.877416,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.029329,0.877416,0.0,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.030326,0.878413,0.000997,0,b,0,('0.0.0.0'; 11000),()
2019-05-08 13:35:44.030326,0.878413,0.0,0,b,0,('0.0.0.0'; 11000),()
