Time,Delta,Dela Prev,Data,Data Id,Data Type,Data Count,Ip Address
2019-05-08 13:28:17.291544,4.41448,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.292542,4.415478,0.000998,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.292542,4.415478,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.293538,4.416474,0.000996,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.293538,4.416474,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.293538,4.416474,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.293538,4.416474,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.294536,4.417472,0.000998,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.294536,4.417472,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.294536,4.417472,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.294536,4.417472,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.295534,4.41847,0.000998,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.295534,4.41847,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.295534,4.41847,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.296531,4.419467,0.000997,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.296531,4.419467,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.296531,4.419467,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.296531,4.419467,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.299525,4.422461,0.002994,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.299525,4.422461,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.299525,4.422461,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.299525,4.422461,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.300519,4.423455,0.000994,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.300519,4.423455,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.300519,4.423455,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.300519,4.423455,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.301517,4.424453,0.000998,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.301517,4.424453,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.301517,4.424453,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.302515,4.425451,0.000998,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.302515,4.425451,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.302515,4.425451,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.302515,4.425451,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.303513,4.426449,0.000998,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.303513,4.426449,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.303513,4.426449,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.303513,4.426449,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.304511,4.427447,0.000998,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:17.304511,4.427447,0.0,(),0,b,0,('0.0.0.0', 11000)
