Time,Delta,Dela Prev,Data,Data Id,Data Type,Data Count,Ip Address
2019-05-08 13:28:56.521772,4.156743,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.522769,4.15774,0.000997,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.522769,4.15774,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.522769,4.15774,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.523767,4.158738,0.000998,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.523767,4.158738,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.523767,4.158738,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.523767,4.158738,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.524764,4.159735,0.000997,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.524764,4.159735,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.524764,4.159735,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.524764,4.159735,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.525761,4.160732,0.000997,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.525761,4.160732,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.525761,4.160732,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.525761,4.160732,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.526757,4.161728,0.000996,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.526757,4.161728,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.526757,4.161728,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.526757,4.161728,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.527757,4.162728,0.001,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.527757,4.162728,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.527757,4.162728,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.527757,4.162728,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.528754,4.163725,0.000997,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.528754,4.163725,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.528754,4.163725,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.528754,4.163725,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.531747,4.166718,0.002993,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.531747,4.166718,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.532743,4.167714,0.000996,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.532743,4.167714,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.532743,4.167714,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.532743,4.167714,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.533741,4.168712,0.000998,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.533741,4.168712,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.533741,4.168712,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.533741,4.168712,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.534737,4.169708,0.000996,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.534737,4.169708,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.534737,4.169708,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.534737,4.169708,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.535733,4.170704,0.000996,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.535733,4.170704,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.535733,4.170704,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.536733,4.171704,0.001,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.536733,4.171704,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.536733,4.171704,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.537729,4.1727,0.000996,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.537729,4.1727,0.0,(),0,b,0,('0.0.0.0', 11000)
2019-05-08 13:28:56.537729,4.1727,0.0,(),0,b,0,('0.0.0.0', 11000)
