Time,Delta,Dela Prev,Data Id,Data Type,Data Count,Ip Address,Data
2019-05-11 01:41:15.258415,5.616007,0.206769,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:15.459200,5.816792,0.200785,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:15.667741,6.025333,0.208541,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:15.873750,6.231342,0.206009,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:16.081840,6.439432,0.20809,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:16.284912,6.642504,0.203072,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:16.488698,6.84629,0.203786,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:16.693655,7.051247,0.204957,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:16.893945,7.251537,0.20029,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:17.116966,7.474558,0.223021,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:17.300128,7.65772,0.183162,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:17.529248,7.88684,0.22912,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:17.713822,8.071414,0.184574,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:17.937710,8.295302,0.223888,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:18.139576,8.497168,0.201866,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:18.345859,8.703451,0.206283,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:18.549265,8.906857,0.203406,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:18.746028,9.10362,0.196763,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:18.951643,9.309235,0.205615,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:19.149638,9.50723,0.197995,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:19.358869,9.716461,0.209231,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:19.567210,9.924802,0.208341,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:19.760969,10.118561,0.193759,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:19.975036,10.332628,0.214067,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:20.180677,10.538269,0.205641,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:20.377784,10.735376,0.197107,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:20.575775,10.933367,0.197991,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:20.793990,11.151582,0.218215,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:20.997150,11.354742,0.20316,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:21.190875,11.548467,0.193725,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:21.403539,11.761131,0.212664,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:21.608142,11.965734,0.204603,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:21.808572,12.166164,0.20043,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:22.007280,12.364872,0.198708,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:22.222599,12.580191,0.215319,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:22.412481,12.770073,0.189882,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:22.624600,12.982192,0.212119,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:22.825120,13.182712,0.20052,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:23.026290,13.383882,0.20117,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:23.230841,13.588433,0.204551,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:23.443344,13.800936,0.212503,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 01:41:23.641243,13.998835,0.197899,5100,L,2,('192.168.1.136'; 11000),(0, 0)
