Time,Delta,Dela Prev,Data Id,Data Type,Data Count,Ip Address,Data
2019-05-11 00:58:44.983238,493.747005,0.203348,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:45.253889,494.017656,0.270651,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:45.648933,494.4127,0.395044,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:45.891251,494.655018,0.242318,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:46.258798,495.022565,0.367547,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:46.481540,495.245307,0.222742,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:46.871535,495.635302,0.389995,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:47.100883,495.86465,0.229348,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:47.494259,496.258026,0.393376,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:47.715814,496.479581,0.221555,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:48.099052,496.862819,0.383238,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:48.321113,497.08488,0.222061,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:48.614551,497.378318,0.293438,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:48.936133,497.6999,0.321582,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:49.236121,497.999888,0.299988,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:49.549087,498.312854,0.312966,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:49.826687,498.590454,0.2776,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:50.218031,498.981798,0.391344,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:50.435778,499.199545,0.217747,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:50.842512,499.606279,0.406734,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:51.052428,499.816195,0.209916,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:51.447819,500.211586,0.395391,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:51.671724,500.435491,0.223905,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:52.070041,500.833808,0.398317,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:52.285497,501.049264,0.215456,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:52.685951,501.449718,0.400454,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:52.906993,501.67076,0.221042,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:53.193208,501.956975,0.286215,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:53.512287,502.276054,0.319079,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:53.812980,502.576747,0.300693,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:54.131748,502.895515,0.318768,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:54.404435,503.168202,0.272687,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:54.796189,503.559956,0.391754,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:55.016288,503.780055,0.220099,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:55.408189,504.171956,0.391901,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:55.633185,504.396952,0.224996,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:56.030776,504.794543,0.397591,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:56.251896,505.015663,0.22112,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:56.649828,505.413595,0.397932,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:56.858940,505.622707,0.209112,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:57.256382,506.020149,0.397442,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:57.484296,506.248063,0.227914,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:57.756620,506.520387,0.272324,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:58.093627,506.857394,0.337007,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:58.390485,507.154252,0.296858,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:58.708923,507.47269,0.318438,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:58.997859,507.761626,0.288936,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:59.374435,508.138202,0.376576,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:59.605455,508.369222,0.23102,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:58:59.995530,508.759297,0.390075,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:59:00.219072,508.982839,0.223542,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:59:00.610823,509.37459,0.391751,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:59:00.823858,509.587625,0.213035,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:59:01.223577,509.987344,0.399719,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:59:01.439725,510.203492,0.216148,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:59:01.839835,510.603602,0.40011,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:59:02.056612,510.820379,0.216777,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:59:02.323151,511.086918,0.266539,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:59:02.673528,511.437295,0.350377,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:59:02.939589,511.703356,0.266061,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:59:03.295526,512.059293,0.355937,5100,L,2,('192.168.1.136'; 11000),(0, 0)
2019-05-11 00:59:03.588218,512.351985,0.292692,5100,L,2,('192.168.1.136'; 11000),(0, 0)
